Kinase,data,mean
EGFR,,-2.2292013459911666
TEC,,-2.4002567438447584
SRC,,-2.417787580407524
RET,,-2.763652641836361
ABL,,-2.115148924462037
FAK,,-2.66170323798508
PDGFR,,-2.4996235036962515
VEGFR,,-1.9730044444642831
CSK,,-2.427832402552924
SYK,,-2.246939520928869
MET,,-2.4141085370062463
AXL,,-2.473721707338783
TRK,,-2.7665781693174
FRK,,-2.8805995019969775
JAK,,-2.6838457766020882
INSR,,-2.4459300406997206
EPH,,-2.4431392341276146
FGFR,,-2.4084017410959175
DDR,,-2.5371847779857433
ALK,,-2.1243982379055515
FER,,-2.2693160730835222
NA,,-3.2291360511864564
