hgnc_symbol,PTMSEA,KEA3,UKA,KRSA,AverageScore,Presence
ALK,0,0.9228571428571428,0.01265822784810126,0.3344947735191638,0.31750253605610196,3
ERBB4,0,0.3028571428571429,0.31645569620253167,0.794425087108014,0.35343448154192214,3
FER,0,0.96,0.2911392405063291,0.1672473867595819,0.35459665681647773,3
FLT4,0,0.4,0.5949367088607594,0.5017421602787456,0.37416971728487625,3
PTK2B,0,0.9314285714285714,0.3670886075949367,0.2508710801393728,0.38734706479072023,3
IGF1R,0,0.9028571428571428,0.569620253164557,0.08362369337979095,0.3890252723503727,3
ABL2,0,0.7657142857142857,0.6075949367088608,0.2508710801393728,0.4060450756406298,3
PTK2,0.5365853658536586,0.8685714285714285,0.08860759493670886,0.2508710801393728,0.4361588673752922,4
SYK,0,0.9142857142857144,0.20253164556962025,0.6689895470383276,0.44645172672341554,3
FGR,0,0.8885714285714286,0.0379746835443038,0.8780487804878049,0.4511487231508843,3
INSR,0.4878048780487805,0.7542857142857143,0.4810126582278481,0.08362369337979095,0.45168173598553346,4
NTRK2,0.7317073170731707,0.11714285714285716,0.6075949367088608,0.3763066202090593,0.458187932783487,4
KDR,0,0.45714285714285713,0.9746835443037974,0.5017421602787456,0.48339214043135004,3
BMX,0.5365853658536586,0.8742857142857143,0.8734177215189873,0.04181184668989547,0.581525162087064,4
ERBB2,0.4634146341463415,0.9,0.17721518987341772,0.794425087108014,0.5837637277819433,4
MST1R,0,0.6714285714285714,0.8354430379746836,0.8362369337979094,0.585777135800291,3
PTK6,0.7073170731707317,0.6514285714285715,0.189873417721519,0.8780487804878049,0.6066669607021568,4
RET,0.926829268292683,0.9942857142857144,0.3037974683544304,0.20905923344947736,0.6084929210955763,4
JAK2,0.8048780487804879,0.9457142857142856,0.6455696202531646,0.1254355400696864,0.630399373704406,4
JAK3,0.7560975609756098,0.9685714285714284,0.7088607594936709,0.1254355400696864,0.6397413222775988,4
EGFR,0.6829268292682927,0.9514285714285714,0.24050632911392408,0.794425087108014,0.6673217042297005,4
ABL1,0.6097560975609756,0.9485714285714286,0.8860759493670886,0.2508710801393728,0.6738186389097164,4
ITK,0.975609756097561,0.9657142857142856,0.7215189873417721,0.04181184668989547,0.6761637189608786,4
ZAP70,0.7804878048780488,0.9857142857142858,0.34177215189873417,0.6689895470383276,0.694240947382349,4
PDGFRB,0.8536585365853658,0.98,0.6329113924050633,0.4181184668989547,0.721172098972346,4
MET,0.5853658536585366,0.9714285714285714,0.5189873417721519,0.8362369337979094,0.7280046751642923,4
SRC,0.5121951219512195,0.92,0.8987341772151899,0.8780487804878049,0.8022445199135535,4
YES1,0.951219512195122,0.9085714285714286,0.4936708860759494,0.8780487804878049,0.8078776518325762,4
LYN,0.6585365853658537,0.9257142857142856,0.9746835443037974,0.8780487804878049,0.8592457989679354,4
HCK,1,0.7628571428571429,0.7974683544303798,0.8780487804878049,0.8595935694438319,4
FYN,0.8780487804878049,0.9371428571428572,0.810126582278481,0.8780487804878049,0.8758417500992369,4
LCK,0.8292682926829268,0.9742857142857144,0.9746835443037974,0.8780487804878049,0.9140715829400609,4
MAP2K7,0,0.4657142857142857,0.35443037974683544,NA,NA,NA
MAP3K6,0,0.20857142857142855,0.1518987341772152,NA,NA,NA
ROS1,0,NA,0.02531645569620253,0.5853658536585366,NA,NA
