hgnc_symbol,PTMSEA,KEA3,UKA,KRSA,AverageScore,Presence
RAF1,0.8412698412698413,0.7685714285714286,0.0410958904109589,0.10010427528675704,0.43776035888474646,4
ROCK1,0,0.8028571428571428,0.1506849315068493,0.9009384775808134,0.4636201379862014,3
MAPK8,0,0.76,0.1917808219178082,0.9885297184567258,0.4850776350936335,3
MAPK14,0,0.9457142857142856,0.1643835616438356,0.9635036496350364,0.5184003742482894,3
CDK3,0,0.7628571428571429,0.4383561643835616,0.8884254431699687,0.5224096876026683,3
PRKCG,0,0.6857142857142857,0.6986301369863014,0.7257559958289885,0.5275251046323939,3
CHEK2,0,0.7885714285714286,0.6438356164383562,0.7132429614181439,0.5364125016069822,3
RPS6KA1,0.23809523809523808,0.9914285714285714,0.3287671232876712,0.6006256517205423,0.5397291461330057,4
AKT2,0.25396825396825395,0.9114285714285716,0.5068493150684932,0.6131386861313869,0.5713462066491763,4
MAPK3,0.2857142857142857,0.9342857142857144,0.1095890410958904,0.9760166840458812,0.576401431285443,4
RPS6KB1,0.4126984126984127,0.9428571428571428,0.4246575342465753,0.6006256517205423,0.5952096853806683,4
PRKCE,0.3333333333333333,0.7771428571428571,0.547945205479452,0.7507820646506778,0.60230086515158,4
RPS6KA2,0.6031746031746031,0.6828571428571428,0.589041095890411,0.6006256517205423,0.6189246234106749,4
PRKAA1,0.380952380952381,1,0.8904109589041096,0.23774765380604795,0.6272777484156347,4
PRKCI,0.7619047619047619,0.6685714285714286,0.3424657534246575,0.7758081334723671,0.6371875193433038,4
AKT1,0.47619047619047616,0.9685714285714284,0.4931506849315068,0.6131386861313869,0.6377628189561996,4
CDK9,0.5079365079365079,0.7828571428571428,0.3835616438356164,0.8884254431699687,0.640695184449809,4
MAPK1,0.5555555555555556,0.9514285714285714,0.1232876712328767,0.9760166840458812,0.6515721205657212,4
RPS6KA3,0.3968253968253968,0.9828571428571428,0.6438356164383562,0.6006256517205423,0.6560359519603596,4
PKN1,0.984126984126984,0.6542857142857142,0.8082191780821918,0.20020855057351408,0.6617101067671011,4
PRKG2,0.5396825396825397,0.3657142857142857,0.9863013698630136,0.8383733055265902,0.6825178751966073,4
CDK6,0.5079365079365079,0.8857142857142857,0.4520547945205479,0.8884254431699687,0.6835327578353276,4
CDK4,0.492063492063492,0.92,0.4657534246575342,0.8884254431699687,0.6915605899727488,4
MAPKAPK2,0.9047619047619048,0.7514285714285714,0.5753424657534246,0.5380604796663191,0.692398355402555,4
PRKD1,0.4603174603174603,0.9571428571428572,0.6712328767123288,0.6882168925964547,0.6942275216922752,4
PRKCB,0.5714285714285714,0.8714285714285714,0.6164383561643836,0.7257559958289885,0.6962628737126287,4
CDK1,0.9206349206349206,0.9057142857142856,0.0958904109589041,0.8884254431699687,0.7026662651195197,4
CHEK1,0.36507936507936506,0.9742857142857144,0.9178082191780822,0.5630865484880083,0.7050649617577924,4
PAK1,0.6984126984126984,0.96,0.3150684931506849,0.9259645464025026,0.7248614344914714,4
CDK2,0.9682539682539684,0.9657142857142856,0.0821917808219178,0.8884254431699687,0.7261463694900352,4
PRKCA,0.30158730158730157,0.9942857142857144,0.9041095890410958,0.7257559958289885,0.7314346501857751,4
CDK7,1,0.7971428571428572,0.2465753424657534,0.8884254431699687,0.7330359106946449,4
RPS6KA5,0.8571428571428571,0.9285714285714286,0.6027397260273972,0.6006256517205423,0.7472699158655562,4
PIM2,0.7301587301587301,0.7085714285714285,0.821917808219178,0.8008342022940563,0.7653705423108482,4
PRKCZ,0.873015873015873,0.88,0.5342465753424658,0.7758081334723671,0.7657676454576764,4
AURKB,0.42857142857142855,0.8628571428571429,0.9315068493150684,0.8633993743482794,0.7715836987729797,4
AURKA,0.3492063492063492,0.9714285714285714,0.9315068493150684,0.8633993743482794,0.7788852860745671,4
CDK5,0.9365079365079364,0.8971428571428571,0.4657534246575342,0.8884254431699687,0.7969574153695742,4
PIM1,0.7142857142857143,0.9857142857142858,0.7808219178082192,0.8008342022940563,0.8204140300255689,4
PRKCQ,0.8888888888888888,0.8628571428571429,0.726027397260274,0.8508863399374348,0.8321649422359352,4
PRKG1,0.5873015873015873,0.9771428571428572,0.9726027397260274,0.8383733055265902,0.8438551224242655,4
PRKCD,0.9523809523809524,0.8228571428571428,0.8493150684931506,0.8508863399374348,0.8688598759171702,4
PRKACA,0.6825396825396826,0.9885714285714284,0.9863013698630136,0.9384775808133472,0.898972515446868,4
SGK1,0.4444444444444444,0.8742857142857143,NA,0.18769551616266944,NA,NA
DAPK3,0,0.8142857142857143,NA,0.01251303441084463,NA,NA
ARAF,0.8095238095238095,0.7657142857142857,NA,0.10010427528675704,NA,NA
BRAF,0.8095238095238095,0.8571428571428571,NA,0.10010427528675704,NA,NA
PRKACG,0.31746031746031744,NA,NA,0.9384775808133472,NA,NA
PRKACB,0.7619047619047619,0.18285714285714288,NA,0.9384775808133472,NA,NA
MAP3K8,0.6190476190476191,0.82,NA,0.08759124087591241,NA,NA
GSK3B,0,0.9771428571428572,NA,0.7382690302398331,NA,NA
NEK2,0,0.7771428571428571,NA,0.11261730969760168,NA,NA
