Kinase,Z,method,AvgZ
TEC,3.57,641039315>0.15,3.2958333333333334
JAK,-2.63,641039315>0.15,-2.495833333333333
DDR,2.33,641039315>0.15,2.2025
EGFR,-1.91,641039315>0.15,-2.01
FER,1.79,641039315>0.15,1.5383333333333333
TRK,-1.57,641039315>0.15,-1.385
FRK,1.28,641039315>0.15,1.2491666666666668
ALK,-1.1,641039315>0.15,-1.0516666666666667
CSK,1.01,641039315>0.15,0.9175
MET,-0.94,641039315>0.15,-0.8083333333333333
INSR,-0.94,641039315>0.15,-0.8158333333333333
FGFR,-0.86,641039315>0.15,-0.75
EPH,-0.81,641039315>0.15,-0.665
ACK,0.8,641039315>0.15,0.5175
SEV,0.78,641039315>0.15,-0.17833333333333323
SRC,-0.66,641039315>0.15,-0.29416666666666663
VEGFR,0.53,641039315>0.15,0.365
SYK,0.46,641039315>0.15,0.645
AXL,0.34,641039315>0.15,0.4216666666666667
FAK,0.33,641039315>0.15,0.5641666666666667
RYK,-0.31,641039315>0.15,-0.26083333333333336
ABL,0.23,641039315>0.15,0.33666666666666667
RET,-0.11,641039315>0.15,-0.01083333333333333
PDGFR,-0.09,641039315>0.15,0.031666666666666676
TEC,3.62,641039315>0.2,3.2958333333333334
JAK,-2.55,641039315>0.2,-2.495833333333333
EGFR,-2.13,641039315>0.2,-2.01
DDR,2.04,641039315>0.2,2.2025
FER,1.88,641039315>0.2,1.5383333333333333
TRK,-1.39,641039315>0.2,-1.385
MET,-1.16,641039315>0.2,-0.8083333333333333
INSR,-1.15,641039315>0.2,-0.8158333333333333
CSK,1.05,641039315>0.2,0.9175
FGFR,-1.03,641039315>0.2,-0.75
ALK,-0.96,641039315>0.2,-1.0516666666666667
ACK,0.85,641039315>0.2,0.5175
SEV,0.83,641039315>0.2,-0.17833333333333323
FRK,0.79,641039315>0.2,1.2491666666666668
EPH,-0.64,641039315>0.2,-0.665
SYK,0.55,641039315>0.2,0.645
FAK,0.46,641039315>0.2,0.5641666666666667
SRC,-0.39,641039315>0.2,-0.29416666666666663
PDGFR,-0.29,641039315>0.2,0.031666666666666676
VEGFR,0.25,641039315>0.2,0.365
RYK,-0.25,641039315>0.2,-0.26083333333333336
AXL,0.21,641039315>0.2,0.4216666666666667
ABL,0.08,641039315>0.2,0.33666666666666667
RET,-0.06,641039315>0.2,-0.01083333333333333
TEC,3.27,641039315>0.3,3.2958333333333334
JAK,-2.26,641039315>0.3,-2.495833333333333
EGFR,-2.08,641039315>0.3,-2.01
DDR,1.48,641039315>0.3,2.2025
ALK,-1.4,641039315>0.3,-1.0516666666666667
FER,1.22,641039315>0.3,1.5383333333333333
TRK,-1.2,641039315>0.3,-1.385
SEV,-1.16,641039315>0.3,-0.17833333333333323
FGFR,-1.1,641039315>0.3,-0.75
INSR,-0.98,641039315>0.3,-0.8158333333333333
CSK,0.97,641039315>0.3,0.9175
FRK,0.93,641039315>0.3,1.2491666666666668
MET,-0.92,641039315>0.3,-0.8083333333333333
ACK,0.91,641039315>0.3,0.5175
EPH,-0.86,641039315>0.3,-0.665
SYK,0.8,641039315>0.3,0.645
FAK,0.77,641039315>0.3,0.5641666666666667
SRC,-0.61,641039315>0.3,-0.29416666666666663
AXL,0.59,641039315>0.3,0.4216666666666667
ABL,0.4,641039315>0.3,0.33666666666666667
PDGFR,-0.26,641039315>0.3,0.031666666666666676
RYK,-0.23,641039315>0.3,-0.26083333333333336
VEGFR,0.07,641039315>0.3,0.365
RET,0.04,641039315>0.3,-0.01083333333333333
TEC,2.98,641039315>0.4,3.2958333333333334
JAK,-2.14,641039315>0.4,-2.495833333333333
EGFR,-2.13,641039315>0.4,-2.01
DDR,1.68,641039315>0.4,2.2025
TRK,-1.52,641039315>0.4,-1.385
FER,1.42,641039315>0.4,1.5383333333333333
SEV,-1.14,641039315>0.4,-0.17833333333333323
ALK,-1.11,641039315>0.4,-1.0516666666666667
FRK,0.97,641039315>0.4,1.2491666666666668
ACK,0.91,641039315>0.4,0.5175
FGFR,-0.85,641039315>0.4,-0.75
MET,-0.76,641039315>0.4,-0.8083333333333333
INSR,-0.75,641039315>0.4,-0.8158333333333333
FAK,0.73,641039315>0.4,0.5641666666666667
CSK,0.72,641039315>0.4,0.9175
EPH,-0.6,641039315>0.4,-0.665
VEGFR,-0.5,641039315>0.4,0.365
AXL,0.47,641039315>0.4,0.4216666666666667
SYK,0.46,641039315>0.4,0.645
SRC,-0.41,641039315>0.4,-0.29416666666666663
ABL,0.38,641039315>0.4,0.33666666666666667
PDGFR,0.37,641039315>0.4,0.031666666666666676
RYK,-0.2,641039315>0.4,-0.26083333333333336
RET,0.19,641039315>0.4,-0.01083333333333333
TEC,3.57,641039318>0.15,3.2958333333333334
JAK,-2.63,641039318>0.15,-2.495833333333333
DDR,2.33,641039318>0.15,2.2025
EGFR,-1.91,641039318>0.15,-2.01
FER,1.79,641039318>0.15,1.5383333333333333
TRK,-1.57,641039318>0.15,-1.385
FRK,1.28,641039318>0.15,1.2491666666666668
ALK,-1.1,641039318>0.15,-1.0516666666666667
CSK,1.01,641039318>0.15,0.9175
MET,-0.94,641039318>0.15,-0.8083333333333333
INSR,-0.94,641039318>0.15,-0.8158333333333333
FGFR,-0.86,641039318>0.15,-0.75
EPH,-0.81,641039318>0.15,-0.665
ACK,0.8,641039318>0.15,0.5175
SEV,0.78,641039318>0.15,-0.17833333333333323
SRC,-0.66,641039318>0.15,-0.29416666666666663
VEGFR,0.53,641039318>0.15,0.365
SYK,0.46,641039318>0.15,0.645
AXL,0.34,641039318>0.15,0.4216666666666667
FAK,0.33,641039318>0.15,0.5641666666666667
RYK,-0.31,641039318>0.15,-0.26083333333333336
ABL,0.23,641039318>0.15,0.33666666666666667
RET,-0.11,641039318>0.15,-0.01083333333333333
PDGFR,-0.09,641039318>0.15,0.031666666666666676
TEC,3.38,641039318>0.2,3.2958333333333334
JAK,-2.57,641039318>0.2,-2.495833333333333
