Kinase,Z,method,AvgZ
DDR,3.05,640205505>0.15,1.6066666666666667
TEC,3.01,640205505>0.15,2.154166666666667
SYK,2.13,640205505>0.15,0.7858333333333333
VEGFR,-1.77,640205505>0.15,-1.5825
FRK,1.64,640205505>0.15,0.87
ABL,1.46,640205505>0.15,1.475
ACK,1.39,640205505>0.15,-0.26916666666666667
INSR,1.38,640205505>0.15,0.6325000000000001
TRK,-1.36,640205505>0.15,-1.2783333333333333
SRC,1.33,640205505>0.15,1.5675
RET,-1.25,640205505>0.15,-0.735
PDGFR,1.07,640205505>0.15,0.8041666666666667
RYK,-1.05,640205505>0.15,-0.24750000000000003
FGFR,0.72,640205505>0.15,-0.395
SEV,-0.71,640205505>0.15,0.09749999999999999
MET,0.65,640205505>0.15,-0.135
CSK,-0.61,640205505>0.15,-0.31083333333333335
AXL,0.61,640205505>0.15,0.6733333333333333
JAK,-0.58,640205505>0.15,-1.6366666666666667
EPH,-0.45,640205505>0.15,-0.3408333333333333
FAK,0.28,640205505>0.15,1.4341666666666666
EGFR,-0.23,640205505>0.15,-0.425
ALK,-0.09,640205505>0.15,-0.4475
FER,0.01,640205505>0.15,-0.02916666666666666
TEC,3.01,640205505>0.2,2.154166666666667
DDR,2.86,640205505>0.2,1.6066666666666667
VEGFR,-2.6,640205505>0.2,-1.5825
ABL,1.67,640205505>0.2,1.475
ACK,1.64,640205505>0.2,-0.26916666666666667
SYK,1.64,640205505>0.2,0.7858333333333333
INSR,1.56,640205505>0.2,0.6325000000000001
MET,1.32,640205505>0.2,-0.135
FER,-1.19,640205505>0.2,-0.02916666666666666
SRC,1.11,640205505>0.2,1.5675
FAK,1.04,640205505>0.2,1.4341666666666666
RET,-0.97,640205505>0.2,-0.735
TRK,-0.96,640205505>0.2,-1.2783333333333333
PDGFR,0.94,640205505>0.2,0.8041666666666667
RYK,-0.9,640205505>0.2,-0.24750000000000003
JAK,-0.85,640205505>0.2,-1.6366666666666667
FRK,0.69,640205505>0.2,0.87
EPH,-0.68,640205505>0.2,-0.3408333333333333
