Kinase,Z,method,AvgZ
JNK,-4.16,710399505>0.15,-4.355833333333333
NMO,-3.66,710399505>0.15,-3.0116666666666667
ERK,-3.59,710399505>0.15,-4.555833333333333
PKA,3.47,710399505>0.15,3.566666666666667
STE7,-3.37,710399505>0.15,-2.379166666666667
DYRK,-3.3,710399505>0.15,-3.1783333333333332
P38,-3.27,710399505>0.15,-3.74
DMPK,3.23,710399505>0.15,2.9541666666666666
PDK1,-2.99,710399505>0.15,-3.0366666666666666
PKD,2.81,710399505>0.15,2.9258333333333333
AMPK,2.8,710399505>0.15,2.5766666666666667
PKG,2.78,710399505>0.15,2.52
PAKA,2.76,710399505>0.15,2.308333333333333
RSK,2.7,710399505>0.15,2.3558333333333334
PIM,2.45,710399505>0.15,2.316666666666667
PKCD,2.4,710399505>0.15,2.915
PHK,2.26,710399505>0.15,1.8433333333333333
CDK,-2.14,710399505>0.15,-2.6575
AUR,2.06,710399505>0.15,2.6458333333333335
RAD53,1.92,710399505>0.15,1.5341666666666667
STKR,-1.91,710399505>0.15,-1.76
TLK,-1.8,710399505>0.15,-1.5141666666666667
NAK,-1.78,710399505>0.15,-1.2766666666666666
MAPKAPK,1.66,710399505>0.15,1.3575
AKT,1.64,710399505>0.15,1.6616666666666666
PKCA,1.63,710399505>0.15,2.214166666666667
PLK,-1.6,710399505>0.15,-1.8533333333333333
CK1,-1.56,710399505>0.15,-1.7241666666666666
MST,-1.54,710399505>0.15,-1.4016666666666666
IRAK,-1.52,710399505>0.15,-1.3766666666666667
CK2,-1.46,710399505>0.15,-0.7658333333333334
CAMK1,1.45,710399505>0.15,1.4983333333333333
PKCI,1.41,710399505>0.15,0.8841666666666667
STE11,-1.41,710399505>0.15,-1.3108333333333333
RAF,-1.33,710399505>0.15,-1.6925
ULK,-1.26,710399505>0.15,-1.0566666666666666
NIK,-1.26,710399505>0.15,-1.0483333333333333
CLK,-1.25,710399505>0.15,-1.0508333333333333
MOS,-1.25,710399505>0.15,-1.0475
SLK,-1.23,710399505>0.15,-1.0483333333333333
CHK1,1.22,710399505>0.15,0.41000000000000003
FRAY,-1.2,710399505>0.15,-0.195
PKN,1.18,710399505>0.15,-0.061666666666666696
PAKB,1.13,710399505>0.15,0.16583333333333333
PKCH,1.12,710399505>0.15,0.7741666666666667
LKB,-1.1,710399505>0.15,-1.6425
MTOR,-1.08,710399505>0.15,-0.4675
MARK,1.07,710399505>0.15,0.14499999999999996
QIK,1.04,710399505>0.15,0.8608333333333333
MLK,1.02,710399505>0.15,0.9375
PEK,-1.01,710399505>0.15,-1.1525
RIPK,0.97,710399505>0.15,1.0666666666666667
DAPK,0.96,710399505>0.15,-0.10250000000000001
NEK,-0.96,710399505>0.15,-0.20916666666666664
NDR,0.88,710399505>0.15,0.49999999999999994
GRK,-0.87,710399505>0.15,-0.8016666666666666
VRK1,0.84,710399505>0.15,-0.26083333333333336
TAO,0.81,710399505>0.15,0.9741666666666666
WNK,0.81,710399505>0.15,0.12500000000000003
PASK,0.8,710399505>0.15,0.9566666666666667
KHS,0.79,710399505>0.15,0.2925
BUD32,0.78,710399505>0.15,-0.5549999999999999
CAMKK,0.78,710399505>0.15,0.28583333333333333
BRSK,0.77,710399505>0.15,0.2941666666666667
MELK,0.73,710399505>0.15,1.2683333333333333
ATR,0.59,710399505>0.15,-0.1233333333333334
MSN,-0.5,710399505>0.15,0.25083333333333335
ATM,-0.47,710399505>0.15,-0.8633333333333334
GSK,-0.45,710399505>0.15,-0.7441666666666666
IKK,0.42,710399505>0.15,0.6916666666666667
SGK,0.38,710399505>0.15,0.57
TTK,-0.36,710399505>0.15,-1.1475
HAL,-0.32,710399505>0.15,-0.06666666666666667
NUAK,-0.31,710399505>0.15,-1.1391666666666667
PDHK,0.25,710399505>0.15,0.6158333333333333
CAMK2,-0.25,710399505>0.15,0.23500000000000001
PRKDC,-0.2,710399505>0.15,-0.735
BARK2,0.17,710399505>0.15,0.5108333333333334
COT,-0.08,710399505>0.15,-0.105
MLCK,-0.07,710399505>0.15,-0.3408333333333333
JNK,-4.39,710399505>0.2,-4.355833333333333
NMO,-3.47,710399505>0.2,-3.0116666666666667
P38,-3.41,710399505>0.2,-3.74
ERK,-3.33,710399505>0.2,-4.555833333333333
PKA,3.27,710399505>0.2,3.566666666666667
AMPK,3.2,710399505>0.2,2.5766666666666667
PDK1,-3.09,710399505>0.2,-3.0366666666666666
DYRK,-3.08,710399505>0.2,-3.1783333333333332
STE7,-2.87,710399505>0.2,-2.379166666666667
PKG,2.81,710399505>0.2,2.52
DMPK,2.81,710399505>0.2,2.9541666666666666
PIM,2.77,710399505>0.2,2.316666666666667
PAKA,2.61,710399505>0.2,2.308333333333333
PKD,2.5,710399505>0.2,2.9258333333333333
RSK,2.43,710399505>0.2,2.3558333333333334
AUR,2.19,710399505>0.2,2.6458333333333335
PKCD,1.99,710399505>0.2,2.915
CDK,-1.81,710399505>0.2,-2.6575
PHK,1.8,710399505>0.2,1.8433333333333333
PKCA,1.8,710399505>0.2,2.214166666666667
CAMK1,1.76,710399505>0.2,1.4983333333333333
STKR,-1.66,710399505>0.2,-1.76
AKT,1.63,710399505>0.2,1.6616666666666666
TLK,-1.63,710399505>0.2,-1.5141666666666667
NAK,-1.62,710399505>0.2,-1.2766666666666666
MAPKAPK,1.47,710399505>0.2,1.3575
PLK,-1.44,710399505>0.2,-1.8533333333333333
RIPK,1.42,710399505>0.2,1.0666666666666667
QIK,1.41,710399505>0.2,0.8608333333333333
RAF,-1.39,710399505>0.2,-1.6925
RAD53,1.38,710399505>0.2,1.5341666666666667
IRAK,-1.33,710399505>0.2,-1.3766666666666667
CK2,-1.32,710399505>0.2,-0.7658333333333334
MLK,1.24,710399505>0.2,0.9375
ULK,-1.24,710399505>0.2,-1.0566666666666666
STE11,-1.23,710399505>0.2,-1.3108333333333333
MARK,1.22,710399505>0.2,0.14499999999999996
MST,-1.19,710399505>0.2,-1.4016666666666666
PAKB,1.18,710399505>0.2,0.16583333333333333
SLK,-1.18,710399505>0.2,-1.0483333333333333
CK1,-1.17,710399505>0.2,-1.7241666666666666
MOS,-1.17,710399505>0.2,-1.0475
NIK,-1.16,710399505>0.2,-1.0483333333333333
CLK,-1.14,710399505>0.2,-1.0508333333333333
VRK1,0.99,710399505>0.2,-0.26083333333333336
PKCI,0.96,710399505>0.2,0.8841666666666667
NDR,0.93,710399505>0.2,0.49999999999999994
LKB,-0.92,710399505>0.2,-1.6425
BRSK,0.87,710399505>0.2,0.2941666666666667
FRAY,-0.87,710399505>0.2,-0.195
TAO,0.85,710399505>0.2,0.9741666666666666
PKCH,0.83,710399505>0.2,0.7741666666666667
KHS,0.83,710399505>0.2,0.2925
CAMKK,0.82,710399505>0.2,0.28583333333333333
PASK,0.82,710399505>0.2,0.9566666666666667
WNK,0.81,710399505>0.2,0.12500000000000003
BUD32,0.81,710399505>0.2,-0.5549999999999999
MTOR,-0.8,710399505>0.2,-0.4675
CHK1,0.8,710399505>0.2,0.41000000000000003
PEK,-0.72,710399505>0.2,-1.1525
GSK,-0.7,710399505>0.2,-0.7441666666666666
PRKDC,-0.68,710399505>0.2,-0.735
NEK,-0.68,710399505>0.2,-0.20916666666666664
GRK,-0.68,710399505>0.2,-0.8016666666666666
SGK,0.67,710399505>0.2,0.57
IKK,0.66,710399505>0.2,0.6916666666666667
MELK,0.61,710399505>0.2,1.2683333333333333
PDHK,0.5,710399505>0.2,0.6158333333333333
DAPK,0.4,710399505>0.2,-0.10250000000000001
ATM,-0.37,710399505>0.2,-0.8633333333333334
MSN,-0.36,710399505>0.2,0.25083333333333335
