hgnc_symbol,PTMSEA,KEA3,UKA,KRSA,AverageScore,Presence
MTOR,0,0.6971428571428572,0.4125,0.2127215849843587,0.33059111053180396,3
MAPKAPK2,0,0.6542857142857142,0.4625,0.27528675703858185,0.34801811783107406,3
AURKB,0.3898305084745763,0.8685714285714285,0.1125,0.16266944734098018,0.3833928460967463,4
RAF1,0.7966101694915254,0.5457142857142857,0.1375,0.13764337851929093,0.4043669584312755,4
CHEK1,0.4745762711864407,0.9828571428571428,0.0625,0.20020855057351408,0.43003549115427436,4
ROCK1,0,0.68,0.2375,0.9760166840458812,0.4733791710114703,3
RPS6KA2,0,0.7028571428571428,0.75,0.5255474452554745,0.49460114702815433,3
MAPK8,0,0.7885714285714286,0.275,0.9259645464025026,0.4973839937434828,3
AURKA,0.4915254237288136,0.9571428571428572,0.4375,0.16266944734098018,0.5122094320531627,4
CDK3,0,0.6885714285714286,0.4875,0.8759124087591241,0.5129959593326382,3
PRKCG,0,0.7514285714285714,0.7,0.6006256517205423,0.5130135557872785,3
CHEK2,0,0.8742857142857143,0.5875,0.6256517205422315,0.5218593587069865,3
CSNK2A1,0,0.7828571428571428,0.675,0.7132429614181439,0.5427750260688217,3
PKN1,0.5254237288135594,0.6542857142857142,0.25,0.7507820646506778,0.5451228769374878,4
PRKCB,0.3559322033898305,0.82,0.55,0.6006256517205423,0.5816394637775932,4
PRKCQ,0.6779661016949152,0.8228571428571428,0.7875,0.06256517205422316,0.5877221041515703,4
PRKG2,0.9152542372881356,0.23714285714285716,0.975,0.337851929092805,0.6163122558809494,4
PRKCD,0.6440677966101694,0.8885714285714286,0.875,0.06256517205422316,0.6175510993089552,4
RPS6KA1,0.3050847457627119,0.9885714285714284,0.6625,0.5255474452554745,0.6204259048974037,4
RPS6KA5,0.5932203389830508,0.8257142857142857,0.6,0.5255474452554745,0.6361205174882028,4
RPS6KA3,0.3389830508474576,0.9657142857142856,0.7375,0.5255474452554745,0.6419361954543046,4
PAK1,0.6271186440677966,0.9457142857142856,0.225,0.8008342022940563,0.6496667830190347,4
PRKD1,0.559322033898305,0.9228571428571428,0.775,0.36287799791449427,0.6550142936674855,4
PRKAA1,0.6101694915254238,0.9714285714285714,0.9375,0.11261730969760168,0.6579288431628992,4
MAPK1,0.864406779661017,0.9142857142857144,0.0125,0.8508863399374348,0.6605197084710416,4
RPS6KB1,0.5423728813559322,0.9828571428571428,0.6375,0.5255474452554745,0.6720693673671374,4
PRKCI,0.6779661016949152,0.7371428571428571,0.375,0.9009384775808134,0.6727618591046465,4
PIM2,0.4067796610169492,0.5657142857142857,0.85,0.8884254431699687,0.6777298474753009,4
MAPK3,0.8135593220338984,0.9257142857142856,0.125,0.8508863399374348,0.6787899869214047,4
CDK9,0.9661016949152542,0.9028571428571428,0,0.8759124087591241,0.6862178116328803,3
CDK1,0.8813559322033898,0.8914285714285715,0.1,0.8759124087591241,0.6871742280977713,4
PRKCE,0.6779661016949152,0.6628571428571428,0.6125,0.8133472367049009,0.6916676203142398,4
PRKCZ,0.4576271186440678,0.9085714285714286,0.5125,0.9009384775808134,0.6949092561990774,4
CDK2,0.847457627118644,0.98,0.0875,0.8759124087591241,0.6977175089694421,4
CDK5,0.8983050847457628,0.8485714285714285,0.2,0.8759124087591241,0.7056972305190788,4
CDK4,0.9491525423728814,0.8542857142857143,0.2,0.8759124087591241,0.7198376663544299,4
PIM1,0.3220338983050847,1,0.675,0.8884254431699687,0.7213648353687634,4
PRKG1,0.576271186440678,0.9971428571428572,0.975,0.337851929092805,0.721566493169085,4
CDK6,0.9661016949152542,0.8571428571428571,0.1875,0.8759124087591241,0.7216642402043087,4
PRKCA,0.423728813559322,0.9914285714285714,0.95,0.6006256517205423,0.7414457591771089,4
CDK7,0.9322033898305084,0.8857142857142857,0.2875,0.8759124087591241,0.7453325210759796,4
AKT2,0.3728813559322034,0.9342857142857144,0.925,0.9509906152241918,0.7957894213605274,4
AKT1,0.5084745762711864,0.9485714285714286,0.9125,0.9509906152241918,0.8301341550167016,4
PRKACA,0.6610169491525424,0.9742857142857144,0.975,0.7758081334723671,0.8465276992276559,4
SGK1,0,0.88,NA,0.7883211678832117,NA,NA
DAPK3,0,0.7857142857142857,NA,0.07507820646506778,NA,NA
ARAF,0,0.6085714285714285,NA,0.13764337851929093,NA,NA
BRAF,0,0.4657142857142857,NA,0.13764337851929093,NA,NA
PRKACG,0.6779661016949152,NA,NA,0.7758081334723671,NA,NA
PRKACB,0.6779661016949152,0.18857142857142856,NA,0.7758081334723671,NA,NA
MAP3K8,0,0.6371428571428571,NA,0.2502606882168926,NA,NA
NEK2,0,0.7314285714285714,NA,0.30031282586027114,NA,NA
DAPK1,0.7796610169491526,0.5485714285714286,NA,0.07507820646506778,NA,NA
PRKAA2,0.4406779661016949,0.92,NA,0.11261730969760168,NA,NA
PRKDC,1,0.94,NA,0.18769551616266944,NA,NA
PAK2,0.8305084745762712,0.45714285714285713,NA,0.8008342022940563,NA,NA
