Barcode,Peptide,LFC,totalMeanLFC,LFC_SD
640125510,41_654_666,-4.5720234450136585,-4.5720234450136585,NA
640125510,AKT1_170_182,1.214024097172227,1.214024097172227,NA
640125510,AKT1_309_321_C310S,-3.964309658160186,-3.964309658160186,NA
640125510,AKT1_320_332,-1.7871366426389521,-1.7871366426389521,NA
640125510,ANXA1_14_26,-3.49870431404348,-3.49870431404348,NA
640125510,ARAF_297_307,-1.8489517876301402,-1.8489517876301402,NA
640125510,BTLA_252_262,-3.303506335331538,-3.303506335331538,NA
640125510,C1R_199_211,-1.0907484155259768,-1.0907484155259768,NA
640125510,CALM_93_105,-0.5654002343426385,-0.5654002343426385,NA
640125510,CD28_185_197,-2.462161411392869,-2.462161411392869,NA
640125510,CD28_203_215,-0.6284140188053264,-0.6284140188053264,NA
640125510,CD3E_193_205,-2.380760716191726,-2.380760716191726,NA
640125510,CD3Z_105_117,-5.453543539935659,-5.453543539935659,NA
640125510,CD70_9_21_C17S,0.18018447651144243,0.18018447651144243,NA
640125510,CDK1_9_21,-5.473176021073107,-5.473176021073107,NA
640125510,DCX_67_79,-1.294461758463667,-1.294461758463667,NA
640125510,EGFR_1062_1074,0.18033181650354413,0.18033181650354413,NA
640125510,EGFR_1165_1177,-1.2534601379057104,-1.2534601379057104,NA
640125510,EPHA1_774_786,-4.266283690121946,-4.266283690121946,NA
640125510,EPHA2_765_777,-5.817191180116364,-5.817191180116364,NA
640125510,EPHA4_589_601,-1.1719874678992048,-1.1719874678992048,NA
640125510,EPHA7_607_619,-4.088426887421119,-4.088426887421119,NA
640125510,EPHB1_921_933,0.44983646185611104,0.44983646185611104,NA
640125510,EPOR_419_431,-4.322679302944371,-4.322679302944371,NA
640125510,ERBB2_1241_1253,-2.4279751224672017,-2.4279751224672017,NA
640125510,ERBB2_870_882,-2.7578389207005527,-2.7578389207005527,NA
640125510,ERBB3_1283_1295,-1.5426908479329091,-1.5426908479329091,NA
640125510,ERBB4_1277_1289,-1.0772578951894456,-1.0772578951894456,NA
640125510,FAK1_569_581,-2.5809615790974023,-2.5809615790974023,NA
640125510,FAK2_572_584,-3.187972908035582,-3.187972908035582,NA
640125510,FER_707_719,-5.732486732457398,-5.732486732457398,NA
640125510,FGFR2_762_774,-3.2722334199597194,-3.2722334199597194,NA
640125510,GSK3B_210_222_C218S,-1.5512646405329882,-1.5512646405329882,NA
640125510,INSR_992_1004,-2.4606801648345566,-2.4606801648345566,NA
640125510,IRS1_890_902,-1.7230018727931835,-1.7230018727931835,NA
640125510,IRS2_626_638,-3.3963356650201852,-3.3963356650201852,NA
640125510,JAK1_1027_1039,-4.535324187500668,-4.535324187500668,NA
640125510,JAK2_563_577,-3.994400193354167,-3.994400193354167,NA
640125510,JAK3_974_986,-3.5358859506316342,-3.5358859506316342,NA
640125510,K2C6B_53_65,-2.714627132544922,-2.714627132544922,NA
640125510,K2C8_425_437,-2.762119071394545,-2.762119071394545,NA
640125510,KSYK_518_530,-2.7195350517171635,-2.7195350517171635,NA
640125510,LAT_249_261,-4.401421344464305,-4.401421344464305,NA
640125510,LCK_387_399,-3.498558260580384,-3.498558260580384,NA
640125510,LYN_391_403,-4.154284474118925,-4.154284474118925,NA
640125510,MAPK3_198_210_C203S,-3.7979562240553544,-3.7979562240553544,NA
640125510,MBP_198_210,-1.6444005003040596,-1.6444005003040596,NA
640125510,MBP_259_271,-1.277780991202981,-1.277780991202981,NA
640125510,MET_1227_1239,-3.601919955512299,-3.601919955512299,NA
640125510,MET_1228_1240,-3.201791455253688,-3.201791455253688,NA
640125510,MK07_212_224,-2.3500158941215776,-2.3500158941215776,NA
640125510,MK08_181_191,-0.659158794712325,-0.659158794712325,NA
640125510,MK10_216_228,-0.7140812857755829,-0.7140812857755829,NA
640125510,MK12_178_190,-1.21278621595651,-1.21278621595651,NA
640125510,MK12_180_189_M182B,-1.320458955207565,-1.320458955207565,NA
640125510,MK14_173_185,-2.7261385636818503,-2.7261385636818503,NA
640125510,MK14_177_187,-1.48643960014331,-1.48643960014331,NA
640125510,MPZL1_236_246,-5.292391356845301,-5.292391356845301,NA
640125510,NCF1_313_325,-0.2536168300716959,-0.2536168300716959,NA
640125510,NPT2A_501_513,2.0109878295099692,2.0109878295099692,NA
640125510,NTRK1_489_501,1.3072110061506157,1.3072110061506157,NA
640125510,NTRK2_696_708,-3.6437241292646876,-3.6437241292646876,NA
640125510,P85A_600_612,-5.311498955832047,-5.311498955832047,NA
640125510,PAXI_24_36,-5.190949238583134,-5.190949238583134,NA
640125510,PDPK1_369_381,-2.65497969918418,-2.65497969918418,NA
640125510,PGFRB_1014_1028,-5.21864688543859,-5.21864688543859,NA
640125510,PGFRB_572_584,-4.556432892553497,-4.556432892553497,NA
640125510,PGFRB_768_780,-4.5700430808854176,-4.5700430808854176,NA
640125510,PGFRB_771_783,-3.388648774798316,-3.388648774798316,NA
640125510,PLCG1_1246_1258,-0.23112282644098414,-0.23112282644098414,NA
640125510,PP2AB_297_309,-0.9248040099947561,-0.9248040099947561,NA
640125510,PRRX2_202_214,-4.8901205235049,-4.8901205235049,NA
640125510,PTN11_541_551,-0.7562339278709858,-0.7562339278709858,NA
640125510,PTN11_57_67,-4.4405385257895675,-4.4405385257895675,NA
640125510,PTN6_558_570,-5.9218695941015325,-5.9218695941015325,NA
640125510,RAF1_332_344,-2.8123126418535707,-2.8123126418535707,NA
640125510,RASA1_453_465,-5.518367276390695,-5.518367276390695,NA
640125510,RB_804_816,-0.33404537695696934,-0.33404537695696934,NA
640125510,RET_1022_1034,-5.051185023284975,-5.051185023284975,NA
640125510,TEC_512_524,-2.3168496676749184,-2.3168496676749184,NA
640125510,TIE2_986_998,-0.2978362883764536,-0.2978362883764536,NA
