Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
Pat31P,710418105,Pat31P_710418105_A1,CDN1A_139_151,10.435532677027586,0.9999859901224608,5
Pat31P,710418105,Pat31P_710418105_A1,LIPS_944_956,6.320566419429137,0.9924961945555595,5
Pat31P,710418105,Pat31P_710418105_A1,PLEK_106_118,8.59527507711494,0.999886258441496,5
Pat31P,710418105,Pat31P_710418105_A1,GRIK2_708_720,10.596752347442163,0.9999650951017163,5
Pat31P,710418105,Pat31P_710418105_A1,FOXO3_25_37,5.656863295530154,0.9957991432279916,5
Pat31P,710418105,Pat31P_710418105_A1,RBL2_655_667,5.8523381129365895,0.9980970265241033,5
Pat31P,710418105,Pat31P_710418105_A1,KAP2_92_104,8.731639238559591,0.9999640281505529,5
Pat31P,710418105,Pat31P_710418105_A1,RS6_228_240,8.806260820015025,0.99984844986327015,5
Pat31P,710418105,Pat31P_710418105_A1,ACM1_444_456,4.343541907993425,0.9547565641905263,5
Pat31P,710418105,Pat31P_710418105_A1,BAD_112_124,4.340857823422214,0.9750760803408399,5
Pat31P,710418105,Pat31P_710418105_A1,CENPA_1_14,5.471751890273166,0.9978541794437029,5
Pat31P,710418105,Pat31P_710418105_A1,NEK2_172_184,4.531822809127583,0.9971844067616696,5
Pat31P,710418105,Pat31P_710418105_A1,PPR1A_28_40,6.6972954487361855,0.9985211983574739,5
Pat31P,710418105,Pat31P_710418105_A1,ADRB2_338_350,8.166707866811455,0.9998971448691671,5
Pat31P,710418105,Pat31P_710418105_A1,RYR1_4317_4329,6.676156681678035,0.9999128628106645,5
Pat31P,710418105,Pat31P_710418105_A1,ACM4_456_468,4.013546531837948,0.9903443801697573,5
Pat31P,710418105,Pat31P_710418105_A1,BAD_69_81,3.117569596381177,0.9597242380261247,5
Pat31P,710418105,Pat31P_710418105_A1,KAPCG_192_206,3.815111365692039,0.9981275557787503,5
Pat31P,710418105,Pat31P_710418105_A1,MARCS_152_164,3.8794098591864117,0.9861894573040264,5
Pat31P,710418105,Pat31P_710418105_A1,NEK3_158_170,3.815111365692039,0.9981275557787503,5
Pat31P,710418105,Pat31P_710418105_A1,PRKDC_2618_2630,4.013546531837948,0.99605241694307,5
Pat31P,710418105,Pat31P_710418105_A1,REL_260_272,4.419284470379029,0.9927708983108422,5
Pat31P,710418105,Pat31P_710418105_A1,SCN7A_898_910,6.641676891715478,0.9992458539091714,5
Pat31P,710418105,Pat31P_710418105_A1,ACM5_494_506,4.883104342744153,0.9981132075471699,5
Pat31P,710418105,Pat31P_710418105_A1,BAD_93_105,6.2328055402758595,0.9995241498361828,5
Pat31P,710418105,Pat31P_710418105_A1,CSF1R_701_713,6.619147202602671,0.9979595288166002,5
Pat31P,710418105,Pat31P_710418105_A1,GPR6_349_361,4.237863830098888,0.9847559774687833,5
Pat31P,710418105,Pat31P_710418105_A1,MARCS_160_172,4.675091569011798,0.9974298709494896,5
Pat31P,710418105,Pat31P_710418105_A1,NMDZ1_890_902,7.305846660283191,0.9995831954597812,5
Pat31P,710418105,Pat31P_710418105_A1,PTK6_436_448,7.288539650416008,0.9987896015478389,5
Pat31P,710418105,Pat31P_710418105_A1,CAC1C_1974_1986,8.79772269458205,0.9999557020760779,5
Pat31P,710418105,Pat31P_710418105_A1,KPB1_1011_1023,7.7376459502462005,0.9997701709092125,5
Pat31P,710418105,Pat31P_710418105_A1,ACM5_498_510,4.753878977102553,0.9954339233210663,5
Pat31P,710418105,Pat31P_710418105_A1,BCKD_45_57,3.4668363998590492,0.9757785860422823,5
Pat31P,710418105,Pat31P_710418105_A1,GPSM2_394_406,4.552850315567404,0.9972265181977523,5
Pat31P,710418105,Pat31P_710418105_A1,MBP_222_234,4.879409859186412,0.9981952420016407,5
Pat31P,710418105,Pat31P_710418105_A1,NOS3_1171_1183,6.45447389884133,0.9991686199349917,5
Pat31P,710418105,Pat31P_710418105_A1,RAB1A_187_199,3.0135465318379477,0.9708713165147339,5
Pat31P,710418105,Pat31P_710418105_A1,STK6_283_295,8.534321237470133,0.9998696438620593,5
Pat31P,710418105,Pat31P_710418105_A1,CFTR_730_742,8.423571828782128,0.999922836477464,5
Pat31P,710418105,Pat31P_710418105_A1,MYPC3_268_280,9.906096441120946,0.9999880059873542,5
Pat31P,710418105,Pat31P_710418105_A1,VASP_271_283,6.187211994387451,0.9980703806508082,5
Pat31P,710418105,Pat31P_710418105_A1,ADDB_696_708,3.815111365692039,0.9831743339693308,5
Pat31P,710418105,Pat31P_710418105_A1,GSUB_61_73,4.030302760163526,0.9665377874007629,5
Pat31P,710418105,Pat31P_710418105_A1,NR4A1_344_356,4.527108115255531,0.9962931333564624,5
Pat31P,710418105,Pat31P_710418105_A1,RAF1_253_265,3.660096830781936,0.9848617814831067,5
Pat31P,710418105,Pat31P_710418105_A1,CGHB_109_121,6.652540610525774,0.9980265698346301,5
Pat31P,710418105,Pat31P_710418105_A1,NCF1_296_308,9.596330424537744,0.9998948476313639,5
Pat31P,710418105,Pat31P_710418105_A1,VTNC_390_402,9.183003293024003,0.9998951395643468,5
Pat31P,710418105,Pat31P_710418105_A1,ADDB_706_718,5.538866086131702,0.9988904317839303,5
Pat31P,710418105,Pat31P_710418105_A1,GYS2_1_13,6.994887076606347,0.9994191254688988,5
Pat31P,710418105,Pat31P_710418105_A1,RAP1B_172_184,3.933857643208788,0.9887576104647657,5
Pat31P,710418105,Pat31P_710418105_A1,CREB1_126_138,9.561594167620235,0.9999602884220115,5
Pat31P,710418105,Pat31P_710418105_A1,NCF1_321_333,8.615265260884682,0.9999000411649667,5
Pat31P,710418105,Pat31P_710418105_A1,CA2D1_494_506,4.493666666701606,0.9845824470289235,5
Pat31P,710418105,Pat31P_710418105_A1,H2B1B_ 27_40,5.387123195598511,0.9993670063218111,5
Pat31P,710418105,Pat31P_710418105_A1,KIF2C_105_118_S106G,6.545875144651066,0.9988018762025634,5
Pat31P,710418105,Pat31P_710418105_A1,MP2K1_287_299,5.169925001442313,0.9995343422584401,5
Pat31P,710418105,Pat31P_710418105_A1,RB_242_254,4.706707773073526,0.9939680760528883,5
Pat31P,710418105,Pat31P_710418105_A1,NFKB1_330_342,7.008904244535667,0.9994284969065389,5
Pat31P,710418105,Pat31P_710418105_A1,ANDR_785_797,5.781854549763739,0.9989727202236895,5
Pat31P,710418105,Pat31P_710418105_A1,ERBB2_679_691,7.504500472612878,0.9998930814731266,5
Pat31P,710418105,Pat31P_710418105_A1,H32_3_18,5.38060400221497,0.9963833752983878,5
Pat31P,710418105,Pat31P_710418105_A1,KPCB_19_31_A25S,6.657402721612673,0.9994210707885869,5
Pat31P,710418105,Pat31P_710418105_A1,P53_308_323,3.715023041285529,0.9978083546181099,5
Pat31P,710418105,Pat31P_710418105_A1,TOP2A_1463_1475,10.693717065509754,0.9999701481053976,5
Pat31P,710418105,Pat31P_710418105_A1,E1A_ADE05_212_224,8.12947743713809,0.9999422781029741,5
Pat31P,710418105,Pat31P_710418105_A1,KAP3_107_119,10.279150625290395,0.9999217920519187,5
Pat31P,710418105,Pat31P_710418105_A1,IF4E_203_215,4.184968881666762,0.9962435677530018,5
Pat31P,710418105,Pat31P_710418105_A1,MPIP1_172_184,4.767934572323972,0.9995474766068415,5
Pat31P,710418105,Pat31P_710418105_A1,VASP_150_162,6.854691996703821,0.9987109590248263,5
Pat31P,710418105,Pat31P_710418105_A1,EPB42_241_253,6.614154213435939,0.9994106646854086,5
Pat31P,710418105,Pat31P_710418105_A1,PTN12_32_44,9.583685967641951,0.9999282372146754,5
Pat31P,710418105,Pat31P_710418105_A1,CDK7_163_175,4.079434467494405,0.9467169811320754,5
Pat31P,710418105,Pat31P_710418105_A1,ESR1_160_172,7.42974227264525,0.9998534878886833,5
Pat31P,710418105,Pat31P_710418105_A1,KS6A1_374_386,4.834321969657873,0.9911487236403995,5
Pat31P,710418105,Pat31P_710418105_A1,RB_803_815,4.702532097102332,0.9915031863051356,5
Pat31P,710418105,Pat31P_710418105_A1,GBRB2_427_439,10.343500007552231,0.9999775043944202,5
Pat31P,710418105,Pat31P_710418105_A1,TY3H_65_77,9.434313503586417,0.999966937051615,5
Pat31P,710418105,Pat31P_710418105_A2,CDN1A_139_151,10.590551743826543,0.9999778133134481,5
Pat31P,710418105,Pat31P_710418105_A2,LIPS_944_956,7.413548100829885,0.9993725379605721,5
Pat31P,710418105,Pat31P_710418105_A2,PLEK_106_118,8.908590884598357,0.9999196945618883,5
Pat31P,710418105,Pat31P_710418105_A2,GRIK2_708_720,11.22422925374851,0.9999831202580849,5
Pat31P,710418105,Pat31P_710418105_A2,FOXO3_25_37,5.532999079099706,0.9995146920186422,5
Pat31P,710418105,Pat31P_710418105_A2,RBL2_655_667,6.509289506191823,0.9994624845425716,5
Pat31P,710418105,Pat31P_710418105_A2,KAP2_92_104,9.629768995397807,0.999930341467921,5
Pat31P,710418105,Pat31P_710418105_A2,RS6_228_240,9.6735590905885,0.9999739102640339,5
Pat31P,710418105,Pat31P_710418105_A2,ACM1_444_456,4.644944605549389,0.9932640379618122,5
Pat31P,710418105,Pat31P_710418105_A2,BAD_112_124,4.500898235932682,0.9945026105693527,5
Pat31P,710418105,Pat31P_710418105_A2,CENPA_1_14,5.596260092055542,0.9939066279632317,5
Pat31P,710418105,Pat31P_710418105_A2,NEK2_172_184,4.879409859186412,0.9981952420016407,5
