Kinase,Z,method,AvgZ
JNK,-4.27,710418105>0.15,-4.660833333333334
NMO,-3.91,710418105>0.15,-3.4775
P38,-3.27,710418105>0.15,-3.533333333333333
PKA,3.27,710418105>0.15,3.3116666666666665
ERK,-3.15,710418105>0.15,-3.725833333333333
PLK,-3.12,710418105>0.15,-2.7391666666666667
PAKA,3.07,710418105>0.15,3.038333333333333
CK1,-3.03,710418105>0.15,-2.5816666666666666
DMPK,2.81,710418105>0.15,2.8425000000000002
PKCH,2.67,710418105>0.15,2.0041666666666664
STE7,-2.66,710418105>0.15,-2.18
CDK,-2.61,710418105>0.15,-2.768333333333333
DYRK,-2.54,710418105>0.15,-2.868333333333333
AUR,2.47,710418105>0.15,2.6816666666666666
PKCI,2.4,710418105>0.15,2.2275
STKR,-2.3,710418105>0.15,-2.2916666666666665
PKCD,2.26,710418105>0.15,2.65
PKG,2.22,710418105>0.15,2.589166666666667
PIM,2.12,710418105>0.15,2.5166666666666666
PDK1,-1.81,710418105>0.15,-2.544166666666667
RAD53,1.81,710418105>0.15,1.8225
GSK,-1.76,710418105>0.15,-1.8716666666666666
STE11,-1.68,710418105>0.15,-1.5991666666666666
NAK,-1.66,710418105>0.15,-1.455
TLK,-1.62,710418105>0.15,-1.4425000000000001
TTK,-1.61,710418105>0.15,-1.4425000000000001
PKCA,1.58,710418105>0.15,1.8558333333333334
NUAK,-1.55,710418105>0.15,-1.4141666666666666
AKT,1.38,710418105>0.15,1.3908333333333334
CHK1,-1.34,710418105>0.15,-1.0966666666666667
PAKB,1.28,710418105>0.15,1.4208333333333334
PKN,1.24,710418105>0.15,0.46
ATM,-1.24,710418105>0.15,-1.0116666666666667
IKK,-1.24,710418105>0.15,-0.6725
PEK,-1.23,710418105>0.15,-1.1733333333333333
BUD32,-1.18,710418105>0.15,-1.0216666666666667
KHS,-1.13,710418105>0.15,-1.0166666666666666
CLK,-1.12,710418105>0.15,-1.0133333333333334
TAO,-1.12,710418105>0.15,-1.0058333333333334
ULK,-1.11,710418105>0.15,-0.9991666666666666
CAMKK,-1.11,710418105>0.15,-0.9966666666666667
NIK,-1.11,710418105>0.15,-1.0150000000000001
PKD,1.1,710418105>0.15,1.4941666666666666
NDR,1.1,710418105>0.15,1.0566666666666666
BRSK,-1.1,710418105>0.15,-1
MOS,-1.09,710418105>0.15,-1.0008333333333335
GRK,-1.08,710418105>0.15,-0.8825000000000001
SLK,-1.07,710418105>0.15,-1
CK2,-1.06,710418105>0.15,-0.74
IRAK,-1.03,710418105>0.15,-0.8716666666666667
MLK,1.02,710418105>0.15,0.91
PHK,0.96,710418105>0.15,1.3283333333333334
WNK,0.89,710418105>0.15,0.665
PASK,0.89,710418105>0.15,0.9916666666666667
MAPKAPK,0.87,710418105>0.15,1.0383333333333333
MST,-0.86,710418105>0.15,-0.7258333333333333
RSK,0.85,710418105>0.15,1.3775
FRAY,0.84,710418105>0.15,0.8083333333333333
MLCK,-0.79,710418105>0.15,-0.7108333333333333
ATR,-0.76,710418105>0.15,-0.4633333333333333
LKB,-0.73,710418105>0.15,-0.9783333333333333
MELK,0.59,710418105>0.15,0.7508333333333334
PRKDC,-0.47,710418105>0.15,-0.13333333333333333
MTOR,0.45,710418105>0.15,0.34
BARK2,0.39,710418105>0.15,0.5808333333333333
NEK,-0.36,710418105>0.15,-0.22666666666666663
MARK,-0.34,710418105>0.15,-0.3041666666666667
CAMK2,-0.28,710418105>0.15,-0.15583333333333335
QIK,-0.28,710418105>0.15,0.15666666666666665
MSN,-0.25,710418105>0.15,-0.265
DAPK,0.24,710418105>0.15,-0.11333333333333334
AMPK,0.24,710418105>0.15,0.6375
SGK,0.21,710418105>0.15,0.3741666666666667
HAL,-0.18,710418105>0.15,-0.01416666666666667
COT,0.17,710418105>0.15,0.20916666666666667
RAF,-0.17,710418105>0.15,-0.21500000000000002
VRK1,0.15,710418105>0.15,-0.2491666666666667
CAMK1,0.14,710418105>0.15,0.295
PDHK,0.07,710418105>0.15,0.14
RIPK,-0.07,710418105>0.15,0.13833333333333334
JNK,-4.27,710418105>0.2,-4.660833333333334
NMO,-3.91,710418105>0.2,-3.4775
P38,-3.27,710418105>0.2,-3.533333333333333
PKA,3.27,710418105>0.2,3.3116666666666665
ERK,-3.15,710418105>0.2,-3.725833333333333
PLK,-3.12,710418105>0.2,-2.7391666666666667
PAKA,3.07,710418105>0.2,3.038333333333333
CK1,-3.03,710418105>0.2,-2.5816666666666666
DMPK,2.81,710418105>0.2,2.8425000000000002
PKCH,2.67,710418105>0.2,2.0041666666666664
STE7,-2.66,710418105>0.2,-2.18
CDK,-2.61,710418105>0.2,-2.768333333333333
DYRK,-2.54,710418105>0.2,-2.868333333333333
AUR,2.47,710418105>0.2,2.6816666666666666
PKCI,2.4,710418105>0.2,2.2275
STKR,-2.3,710418105>0.2,-2.2916666666666665
PKCD,2.26,710418105>0.2,2.65
PKG,2.22,710418105>0.2,2.589166666666667
PIM,2.12,710418105>0.2,2.5166666666666666
PDK1,-1.81,710418105>0.2,-2.544166666666667
RAD53,1.81,710418105>0.2,1.8225
GSK,-1.76,710418105>0.2,-1.8716666666666666
STE11,-1.68,710418105>0.2,-1.5991666666666666
NAK,-1.66,710418105>0.2,-1.455
TLK,-1.62,710418105>0.2,-1.4425000000000001
TTK,-1.61,710418105>0.2,-1.4425000000000001
PKCA,1.58,710418105>0.2,1.8558333333333334
NUAK,-1.55,710418105>0.2,-1.4141666666666666
AKT,1.38,710418105>0.2,1.3908333333333334
CHK1,-1.34,710418105>0.2,-1.0966666666666667
PAKB,1.28,710418105>0.2,1.4208333333333334
PKN,1.24,710418105>0.2,0.46
ATM,-1.24,710418105>0.2,-1.0116666666666667
IKK,-1.24,710418105>0.2,-0.6725
PEK,-1.23,710418105>0.2,-1.1733333333333333
BUD32,-1.18,710418105>0.2,-1.0216666666666667
KHS,-1.13,710418105>0.2,-1.0166666666666666
CLK,-1.12,710418105>0.2,-1.0133333333333334
TAO,-1.12,710418105>0.2,-1.0058333333333334
ULK,-1.11,710418105>0.2,-0.9991666666666666
CAMKK,-1.11,710418105>0.2,-0.9966666666666667
NIK,-1.11,710418105>0.2,-1.0150000000000001
PKD,1.1,710418105>0.2,1.4941666666666666
NDR,1.1,710418105>0.2,1.0566666666666666
BRSK,-1.1,710418105>0.2,-1
MOS,-1.09,710418105>0.2,-1.0008333333333335
