Peptide,Pat27P_710418101_A1,Pat27P_710418101_A2,Pat27P_710418101_A3,Pat27R_710418101_A4,Pat27R_710418102_A1,Pat27R_710418102_A2,Pat27P_710418102_A3,Pat27P_710418102_A4,Pat27P_710418104_A1,Pat27R_710418104_A2,Pat27R_710418104_A3,Pat27R_710418104_A4,Pat31P_710418105_A1,Pat31P_710418105_A2,Pat31P_710418105_A3,Pat31R_710418105_A4,Pat31R_710418106_A1,Pat31R_710418106_A2,Pat31P_710418106_A3,Pat31P_710418106_A4,Pat31P_710418108_A1,Pat31R_710418108_A2,Pat31R_710418108_A3,Pat31R_710418108_A4
CDN1A_139_151,9.278756260745787,9.693421205611754,9.479856510364815,11.394584029750703,11.558330456263894,10.167228772282304,8.88483288048145,9.086361585484036,9.786300454794931,11.420953290739648,11.405703432219784,9.75148090072022,10.435532677027586,10.590551743826545,10.313353676081382,8.805409277742635,10.262715378439824,9.679679261327204,10.160537422948334,10.262360820797122,10.766278869378864,9.692566158262576,9.8150509298149,9.677553449766608
LIPS_944_956,4.836229035422533,5.502099981142435,5.515253528909752,9.138585757663003,9.324732498111857,6.263601391512497,4.826668397114438,4.937415462621977,5.36219196510109,8.960329854569979,9.083955923773194,5.579280354577611,6.320566419429137,7.413548100829885,6.714504738768409,4.348895142487632,6.021948972833646,5.821864213384661,6.336822310187057,6.4942706838931334,6.78432618826598,5.352897073045129,5.312369266462518,4.866404149361649
PLEK_106_118,8.944062817528666,8.182347501247639,8.163863248655112,8.004458991828159,8.580845177040326,8.345551699413262,8.659827646148093,7.499394645342294,8.129866198940736,8.387448383257025,8.115804351735955,7.710351601561632,8.59527507711494,8.908590884598357,8.353396534722572,6.314422925230493,8.457574469647668,7.501198766095396,8.317497942467593,8.308253157990286,8.775159897189729,7.065276404497745,7.791961467934229,7.032383670723183
ACM1_421_433,4.217523381814712,3.7558953227010576,3.7558953227010576,3.8719923876239286,3.6340233191720426,4.396200857265988,3.996593398556751,3.5388660861317027,3.979438677517684,2.951559644942247,3.795641501493814,4.003398576461865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOXO3_25_37,5.392317422778761,5.273487739829609,5.120702485866139,4.797600354531871,5.184968881666762,5.43195088221519,4.822826330820044,4.598509032559104,5.242185436048982,4.785807141389238,4.666542240047118,4.675091569011798,5.656863295530154,5.532999079099706,5.36219196510109,5.171436468359912,5.443256343088573,5.640586006944493,5.466836399859049,4.998297704769,5.548203950711039,5.153193506111897,4.763932641766476,4.466836399859049
LMNA_192_204,4.466836399859049,4.237863830098888,4.670823237374995,3.148596492001801,3.841935153767749,2.575860293613904,3.0067891656626395,3.4420045468791134,4.649290075825353,4.403936506045594,4.531822809127583,2.575860293613904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RBL2_655_667,6.577001215018473,6.898701197795172,6.46745175283954,6.935637649654074,7.031135484596971,5.888628389215791,6.354893883109075,6.472365150661099,6.199857507519143,6.829543247034625,6.632377972054847,5.391020618160309,5.8523381129365895,6.509289506191823,5.997445803332443,4.598509032559104,5.898701197795172,5.257921482440142,6.184968881666762,6.181972629206843,6.134716902995595,4.868269301581211,5.497286982380303,4.7739167303390975
KAP2_92_104,6.849980382323771,7.954196310386876,7.475733430966398,10.828795139698608,11.339534914530589,8.985573463689786,6.59794712601222,6.594007640324163,7.416100414703694,10.832770620359824,11.035655030577775,7.866637425300533,8.731639238559591,9.629768995397807,9.152619679770536,6.6307307463296885,8.260764232208967,7.927833855581018,8.518226320072666,8.650645355437364,9.011227255423254,7.679347309681533,7.695195455583901,7.2211767011660095
RS6_228_240,7.707749806373352,8.39959030849317,8.152619679770535,10.855279868046004,11.082776687580518,9.251236756177388,7.381257248792076,7.577286304445523,8.06730751146548,10.691052139647114,10.844898176047504,8.575289494381575,8.806260820015025,9.6735590905885,9.054975402894586,6.738665883156045,8.632240775055942,8.020482073834986,8.734070496022373,9.012703589926216,9.191967060383735,7.857980995127573,8.173134977990072,7.800045186570755
ACM1_444_456,4.743754759828845,4.4815329110657505,4.6514579125080635,4.223364260403773,4.559791924986251,4.4766506896860045,4.383215215671508,4.111283333533745,4.16082279433506,4.237863830098888,4.246494135242329,4.142444265020206,4.343541907993425,4.644944605549389,4.354228586790673,4.030302760163526,4.377988054007958,4.416737788268684,4.57128756382408,4.464372359907568,4.5200070588803865,4.257921482440142,3.6941443116096138,3.5849625007211565
CENPA_1_14,6.08746284125034,5.591751666383796,5.854221527095579,5.601875883657502,6.045218752156492,6.495477960148429,6.016913382936346,5.229181586999087,5.577001215018473,5.496081219634906,5.753878977102553,5.4332114284211075,5.471751890273166,5.596260092055542,5.371427355839994,4.642766952244019,5.388423506674269,4.919537971891721,5.383215215671508,5.339513906193323,5.617484792154596,4.7315111640740986,5.05343925896146,4.6119295483214255
FRAP_2443_2455,3.4420045468791134,3.660096830781936,3.416737788268683,4.340857823422213,5.229181586999087,3.072979445357106,3.196892049042582,2.681470481574503,3.196892049042582,4.557481764299049,4.566700294328428,2.9931787341439864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LMNB1_16_28,3.890465047695408,4.781854549763739,4.824748642951073,4.924924518438781,5.582692327096329,3.283306800860055,3.8532801273617583,4.092258507851989,5.101802280522859,5.562098392369419,5.195407030855994,3.072979445357106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NEK2_172_184,4.7599195792598525,4.57128756382408,4.702532097102332,4.29721910771531,4.552850315567404,4.515253528909752,4.439497691268539,4.1393582851464625,4.33547462672531,4.33547462672531,4.063242433991819,3.702532097102333,4.531822809127583,4.879409859186412,4.517632251692483,4.036951136172892,4.897788388501266,4.942735794555241,5.136265690091081,4.6857074744609735,4.488825403632107,4.184968881666762,4.356887933241163,4.297219107715309
PPR1A_28_40,5.957704385163156,6.089063168692182,6.083454238946743,6.702532097102332,7.163863248655111,6.505099971911298,5.567848479857309,5.574718469224353,5.980301275475154,6.791715798280014,6.793679985160527,5.835275817653538,6.6972954487361855,6.788764494746411,6.7320233938117315,5.943620612148686,6.579280354577611,6.409711143672229,6.543542573341176,6.2706699751821295,6.609701447429308,5.994033158238187,6.0050948671227635,5.551690126489286
ADRB2_338_350,6.917287628211485,7.718904386217109,7.166518399999063,11.000026582432003,11.231311762430366,8.551690126489286,6.538280457935762,6.564976300845974,7.166897308744745,10.722001961300558,10.813176160786323,7.690459264801757,8.166707866811455,9.4158613270013,8.755769383628838,5.932075437866779,7.962732344785284,7.255429473113259,8.03342300153745,8.313225312913131,8.557048197040823,7.002974191978473,7.185342976065563,6.780864707501314
RYR1_4317_4329,6.951559644942247,7.589774791201965,7.213494016379712,8.707619593363571,9.136555902659376,8.3224383920244,6.77292142499373,6.711910429418194,7.196149731022145,8.795273920267768,8.835871652560982,7.609701447429308,6.676156681678035,7.538866086131702,6.7401944318149,4.552850315567404,6.605234895747418,6.016072406496976,6.719679403716751,6.805409277742635,6.917287628211485,5.721228190812238,6.139358285146463,5.588361077183022
ACM4_456_468,3.8719923876239286,3.651457912508063,3.783832199204181,3.515253528909752,3.515253528909752,3.3648366863566537,3.1668973087447445,3.8343219696578736,3.104969559601543,3.283306800860055,3.491248065898963,3.2087174844393713,4.013546531837948,4.142444265020206,3.815111365692039,3.3381687358945733,3.755895322701057,3.841935153767749,3.9087041659804496,3.9159357352115256,3.811238356544832,3.795641501493814,3.7558953227010576,3.237863830098888
BAD_69_81,2.951559644942247,3.3962008572659883,3.3910206181603084,2.7639326417664756,3.857042046157957,2.747812976403199,2.3381687358945733,2.8266683971144384,3.3910206181603084,3.0534392589614607,3.283306800860055,2.575860293613904,3.117569596381177,3.775905283432551,3.255073120131111,2.9374154626219773,3.3910206181603084,3.1362656900910815,3.1424442650202056,2.638401759682617,3.4420045468791134,2.7558953227010576,2.787779383720844,2.500898235932682
KAPCG_192_206,4.063242433991819,4.187958924272574,3.9087041659804496,3.5849625007211565,3.767934572323972,3.321928094887362,3.857042046157957,3.702532097102333,3.763932641766475,3.5388660861317027,3.7558953227010576,2.951559644942247,3.815111365692039,3.815111365692039,3.7558953227010576,3.255073120131111,3.8719923876239286,3.4420045468791134,3.996593398556751,4.036951136172892,3.795641501493814,3.787779383720844,3.5388660861317027,3.5008982359326817
MARCS_152_164,3.5388660861317027,3.926715573964768,3.9159357352115256,3.969047071671088,4.101802280522859,3.6471189767837258,3.1668973087447445,4.111283333533745,4.343541907993425,3.879409859186412,3.926715573964768,3.4116308978355945,3.879409859186412,4.17294635341755,3.7558953227010576,3.944504887408296,4.095446785483036,4.013546531837948,3.933857643208788,3.822826330820044,4.063242433991819,3.857042046157957,3.986325063102924,3.783832199204181
NEK3_158_170,3.672958981718985,3.8719923876239286,3.5620983923694194,3.803461005953113,3.6296315500548846,3.104969559601543,3.3381687358945733,3.715023041285529,3.607469900130726,3.9620775168562465,3.651457912508063,2.841935153767749,3.815111365692039,3.7356039187079815,3.5849625007211565,3.3910206181603084,3.9620775168562465,3.348895142487632,3.260764232208967,3.715023041285529,3.4668363998590492,3.6208076996678784,3.5388660861317027,3.232081477504882
