hgnc_symbol,PTMSEA,KEA3,UKA,KRSA,AverageScore,Presence
EPHA4,0,0.12857142857142856,0.5128205128205128,0.45993031358885017,0.2753305637451979,3
EPHA2,0,0.29714285714285715,0.4615384615384616,0.45993031358885017,0.30465290806754225,3
RET,0.380952380952381,0.9942857142857144,0.10256410256410256,0,0.3694505494505495,3
KDR,0.5,0.4514285714285714,0.3076923076923077,0.2508710801393728,0.37749798981506294,4
FGFR3,0,0.8742857142857143,0.20512820512820512,0.5017421602787456,0.39528901992316623,3
FLT4,0,0.43142857142857144,0.9487179487179488,0.2508710801393728,0.40775440007147323,3
PDGFRB,0.5714285714285714,0.9742857142857144,0.0641025641025641,0.04181184668989547,0.41290717412668637,4
ABL2,0,0.8857142857142857,0.6410256410256411,0.20905923344947736,0.433949790047351,3
CSK,0,0.9828571428571428,0.1282051282051282,0.627177700348432,0.4345599928526757,3
HCK,0,0.6428571428571429,1,0.1672473867595819,0.45252613240418116,3
FGR,0,0.82,0.8717948717948718,0.1672473867595819,0.46476056463861337,3
PTK2B,0,0.9628571428571427,0.5256410256410257,0.3763066202090593,0.4662011971768069,3
NTRK2,1,0.10857142857142855,0.15384615384615383,0.7526132404181185,0.5037577057089252,4
MST1R,0.6428571428571429,0.5942857142857143,0.4230769230769231,0.5435540069686411,0.5509434467971053,4
FYN,0.4047619047619048,0.9857142857142858,0.7564102564102564,0.1672473867595819,0.5785334584115073,4
LYN,0.42857142857142855,0.9257142857142856,0.8333333333333334,0.1672473867595819,0.5887166085946574,4
FER,0,0.8685714285714285,0.6923076923076923,0.794425087108014,0.5888260519967837,3
SRC,0.5238095238095238,0.9542857142857144,0.782051282051282,0.1672473867595819,0.6068484767265255,4
YES1,0.4523809523809524,0.9171428571428571,0.9871794871794872,0.1672473867595819,0.6309876708657197,4
JAK2,0.47619047619047616,0.9371428571428572,0.19230769230769232,0.9198606271777005,0.6313754132046815,4
ITK,0.6904761904761905,0.8171428571428572,0.07692307692307693,0.9616724738675958,0.6365536496024301,4
LCK,0.5952380952380952,0.9914285714285714,0.9230769230769232,0.1672473867595819,0.6692477441257929,4
ABL1,0.8571428571428571,0.9714285714285714,0.6666666666666666,0.20905923344947736,0.6760743321718932,4
BMX,0.8809523809523809,0.84,0.02564102564102564,0.9616724738675958,0.6770664701152506,4
SYK,0.5476190476190477,0.8942857142857142,0.8589743589743589,0.4181184668989547,0.679749396944519,4
MET,0.7142857142857143,0.9771428571428572,0.5,0.5435540069686411,0.6837456445993031,4
PTK6,0.9285714285714286,0.9028571428571428,0.7948717948717948,0.1672473867595819,0.698386938264987,4
PTK2,0.7857142857142857,0.9314285714285714,0.7307692307692307,0.3763066202090593,0.7060546770302868,4
ZAP70,0.8095238095238095,0.92,0.7435897435897436,0.4181184668989547,0.722808005003127,4
JAK3,0.7380952380952381,0.98,0.28205128205128205,0.9198606271777005,0.7300017868310551,4
ALK,0.8333333333333334,0.9,0.5897435897435898,0.6689895470383276,0.7480166175288128,4
INSR,0.6666666666666666,0.9057142857142856,0.9102564102564102,0.5853658536585366,0.7670008040739748,4
IGF1R,0.9761904761904762,0.8942857142857142,0.8974358974358975,0.5853658536585366,0.8383194853926561,4
EGFR,0.9047619047619048,0.94,0.7051282051282052,0.8362369337979094,0.8465317609220049,4
ERBB2,0.9523809523809524,0.8571428571428571,0.8205128205128205,0.8362369337979094,0.8665683909586348,4
ROS1,0,NA,0.7692307692307693,0.08362369337979095,NA,NA
JAK1,0.6190476190476191,0.6942857142857143,NA,0.9198606271777005,NA,NA
TYK2,0,0.7942857142857143,NA,0.9198606271777005,NA,NA
WEE1,0,0.8028571428571428,NA,NA,NA,NA
MAP2K2,0,0.6114285714285714,NA,NA,NA,NA
MAP2K4,0.35714285714285715,0.7657142857142857,0.34615384615384615,NA,NA,NA
MAP2K1,0.7619047619047619,0.8228571428571428,0,NA,NA,NA
DYRK1A,0,0.4685714285714286,NA,NA,NA,NA
AAK1,NA,0.06285714285714286,NA,NA,NA,NA
ACVR1,NA,0.44,NA,NA,NA,NA
ACVR1B,NA,0.2857142857142857,NA,NA,NA,NA
ACVR2B,NA,0.9057142857142856,NA,NA,NA,NA
AKT1,NA,0.8342857142857143,NA,NA,NA,NA
AKT2,NA,0.7628571428571429,NA,NA,NA,NA
AKT3,NA,0.2542857142857143,NA,NA,NA,NA
ARAF,NA,0.8371428571428572,NA,NA,NA,NA
ATM,NA,0.6228571428571429,NA,NA,NA,NA
ATR,NA,0.6257142857142857,NA,NA,NA,NA
AURKA,NA,0.5828571428571429,NA,NA,NA,NA
AURKB,NA,0.6742857142857143,NA,NA,NA,NA
AURKC,NA,0.3657142857142857,NA,NA,NA,NA
AXL,NA,0.5085714285714286,0.358974358974359,0.2926829268292683,NA,NA
BLK,NA,0.21428571428571427,0.97435897435897445,0.1672473867595819,NA,NA
BMP2K,NA,0.02857142857142857,NA,NA,NA,NA
BMPR1A,NA,0.7828571428571428,NA,NA,NA,NA
BMPR1B,NA,0.5428571428571428,NA,NA,NA,NA
BMPR2,NA,0.24571428571428572,NA,NA,NA,NA
BRAF,NA,0.3171428571428571,NA,NA,NA,NA
BRSK1,NA,0.2228571428571429,NA,NA,NA,NA
BRSK2,NA,0.05142857142857143,NA,NA,NA,NA
BTK,NA,0.8485714285714285,0.4871794871794872,0.9616724738675958,NA,NA
BUB1,NA,0.3142857142857143,NA,NA,NA,NA
CAMK1,NA,0.31142857142857144,NA,NA,NA,NA
CAMK1D,NA,0.1657142857142857,NA,NA,NA,NA
CAMK2A,NA,0.6828571428571428,NA,NA,NA,NA
CAMK2B,NA,0.6285714285714286,NA,NA,NA,NA
CAMK2D,NA,0.5914285714285714,NA,NA,NA,NA
CAMK2G,NA,0.7085714285714285,NA,NA,NA,NA
CAMK4,NA,0.4828571428571429,NA,NA,NA,NA
CAMKK1,NA,0.4457142857142858,NA,NA,NA,NA
CAMKK2,NA,0.3485714285714286,NA,NA,NA,NA
CDC42BPA,NA,0.07428571428571429,NA,NA,NA,NA
CDC7,NA,0.2714285714285714,NA,NA,NA,NA
CDK1,NA,0.7657142857142857,NA,NA,NA,NA
CDK11A,NA,0.12571428571428572,NA,NA,NA,NA
CDK12,NA,0.12,NA,NA,NA,NA
CDK15,NA,0.33714285714285713,NA,NA,NA,NA
CDK16,NA,0.9542857142857144,NA,NA,NA,NA
CDK18,NA,0.2057142857142857,NA,NA,NA,NA
CDK19,NA,0.21428571428571427,NA,NA,NA,NA
CDK2,NA,0.6457142857142857,NA,NA,NA,NA
CDK20,NA,0.18,NA,NA,NA,NA
CDK3,NA,0.4542857142857143,NA,NA,NA,NA
CDK4,NA,0.7371428571428571,NA,NA,NA,NA
CDK5,NA,0.86,NA,NA,NA,NA
CDK6,NA,0.5628571428571428,NA,NA,NA,NA
CDK7,NA,0.7171428571428572,NA,NA,NA,NA
CDK8,NA,0.21142857142857144,NA,NA,NA,NA
CDK9,NA,0.46285714285714286,NA,NA,NA,NA
CDKL3,NA,0.05428571428571428,NA,NA,NA,NA
CDKL5,NA,0.4742857142857143,NA,NA,NA,NA
CHEK1,NA,0.6,0.5769230769230769,NA,NA,NA
CHEK2,NA,0.5285714285714286,NA,NA,NA,NA
CHUK,NA,0.6542857142857142,NA,NA,NA,NA
CLK1,NA,0.7228571428571429,NA,NA,NA,NA
CLK2,NA,0.6771428571428572,NA,NA,NA,NA
CLK3,NA,0.3857142857142858,NA,NA,NA,NA
