Kinase,Z,method,AvgZ
TEC,3.27,640205505>0.15,3.1966666666666668
DDR,3.09,640205505>0.15,3.1225
EPH,-2.07,640205505>0.15,-1.1225
FRK,2.03,640205505>0.15,2.390833333333333
VEGFR,-1.96,640205505>0.15,-1.4516666666666667
FER,1.54,640205505>0.15,0.95
INSR,1.37,640205505>0.15,1.2508333333333332
ABL,1.26,640205505>0.15,2.1108333333333333
SEV,1.19,640205505>0.15,-0.12416666666666666
JAK,-1.16,640205505>0.15,-0.7491666666666666
TRK,-1.1,640205505>0.15,-0.4658333333333334
CSK,-0.91,640205505>0.15,-0.5266666666666666
ACK,-0.87,640205505>0.15,-0.285
PDGFR,0.83,640205505>0.15,0.6174999999999999
RET,-0.63,640205505>0.15,-0.6
SRC,0.55,640205505>0.15,1.3558333333333334
AXL,0.54,640205505>0.15,1.4275
ALK,0.49,640205505>0.15,0.03833333333333335
MET,-0.49,640205505>0.15,-0.19166666666666668
SYK,0.3,640205505>0.15,0.6666666666666666
FAK,0.3,640205505>0.15,0.9974999999999999
EGFR,0.27,640205505>0.15,0.4883333333333333
RYK,0.21,640205505>0.15,0.33166666666666667
FGFR,-0.13,640205505>0.15,-0.35500000000000004
DDR,3.03,640205505>0.2,3.1225
TEC,2.64,640205505>0.2,3.1966666666666668
FRK,2.33,640205505>0.2,2.390833333333333
VEGFR,-2.02,640205505>0.2,-1.4516666666666667
FER,1.78,640205505>0.2,0.95
EPH,-1.56,640205505>0.2,-1.1225
TRK,-1.31,640205505>0.2,-0.4658333333333334
SRC,1.26,640205505>0.2,1.3558333333333334
SEV,1.26,640205505>0.2,-0.12416666666666666
INSR,1.11,640205505>0.2,1.2508333333333332
ABL,1.06,640205505>0.2,2.1108333333333333
SYK,1.05,640205505>0.2,0.6666666666666666
RET,-0.96,640205505>0.2,-0.6
FGFR,-0.91,640205505>0.2,-0.35500000000000004
ACK,-0.81,640205505>0.2,-0.285
EGFR,0.75,640205505>0.2,0.4883333333333333
PDGFR,0.75,640205505>0.2,0.6174999999999999
JAK,-0.74,640205505>0.2,-0.7491666666666666
FAK,0.64,640205505>0.2,0.9974999999999999
AXL,0.6,640205505>0.2,1.4275
CSK,-0.4,640205505>0.2,-0.5266666666666666
RYK,0.36,640205505>0.2,0.33166666666666667
ALK,0.08,640205505>0.2,0.03833333333333335
MET,-0.02,640205505>0.2,-0.19166666666666668
DDR,3.23,640205505>0.3,3.1225
TEC,2.77,640205505>0.3,3.1966666666666668
ABL,2.61,640205505>0.3,2.1108333333333333
FRK,2.47,640205505>0.3,2.390833333333333
VEGFR,-1.89,640205505>0.3,-1.4516666666666667
SRC,1.79,640205505>0.3,1.3558333333333334
INSR,1.68,640205505>0.3,1.2508333333333332
AXL,1.67,640205505>0.3,1.4275
FAK,1.67,640205505>0.3,0.9974999999999999
PDGFR,1.66,640205505>0.3,0.6174999999999999
ALK,-1.15,640205505>0.3,0.03833333333333335
SYK,1.13,640205505>0.3,0.6666666666666666
FER,0.88,640205505>0.3,0.95
CSK,-0.81,640205505>0.3,-0.5266666666666666
ACK,-0.69,640205505>0.3,-0.285
SEV,-0.68,640205505>0.3,-0.12416666666666666
EPH,-0.61,640205505>0.3,-1.1225
TRK,-0.59,640205505>0.3,-0.4658333333333334
MET,0.59,640205505>0.3,-0.19166666666666668
RYK,0.54,640205505>0.3,0.33166666666666667
RET,-0.46,640205505>0.3,-0.6
EGFR,-0.33,640205505>0.3,0.4883333333333333
JAK,-0.27,640205505>0.3,-0.7491666666666666
FGFR,0.04,640205505>0.3,-0.35500000000000004
DDR,3.44,640205505>0.4,3.1225
TEC,2.82,640205505>0.4,3.1966666666666668
FRK,2.56,640205505>0.4,2.390833333333333
ABL,2.52,640205505>0.4,2.1108333333333333
FAK,1.89,640205505>0.4,0.9974999999999999
VEGFR,-1.86,640205505>0.4,-1.4516666666666667
INSR,1.85,640205505>0.4,1.2508333333333332
SRC,1.62,640205505>0.4,1.3558333333333334
AXL,1.57,640205505>0.4,1.4275
PDGFR,1.43,640205505>0.4,0.6174999999999999
ALK,-1.02,640205505>0.4,0.03833333333333335
FER,0.99,640205505>0.4,0.95
CSK,-0.91,640205505>0.4,-0.5266666666666666
SYK,0.88,640205505>0.4,0.6666666666666666
ACK,-0.67,640205505>0.4,-0.285
SEV,-0.67,640205505>0.4,-0.12416666666666666
RYK,0.61,640205505>0.4,0.33166666666666667
TRK,-0.52,640205505>0.4,-0.4658333333333334
EGFR,-0.52,640205505>0.4,0.4883333333333333
EPH,-0.44,640205505>0.4,-1.1225
RET,-0.41,640205505>0.4,-0.6
MET,0.32,640205505>0.4,-0.19166666666666668
FGFR,-0.16,640205505>0.4,-0.35500000000000004
JAK,-0.15,640205505>0.4,-0.7491666666666666
TEC,3.91,640205507>0.15,3.1966666666666668
DDR,3.66,640205507>0.15,3.1225
FRK,2.5,640205507>0.15,2.390833333333333
ABL,1.87,640205507>0.15,2.1108333333333333
JAK,-1.39,640205507>0.15,-0.7491666666666666
INSR,1.22,640205507>0.15,1.2508333333333332
AXL,1.18,640205507>0.15,1.4275
EPH,-1.18,640205507>0.15,-1.1225
SRC,1.15,640205507>0.15,1.3558333333333334
VEGFR,-1,640205507>0.15,-1.4516666666666667
SYK,0.9,640205507>0.15,0.6666666666666666
SEV,-0.88,640205507>0.15,-0.12416666666666666
ACK,-0.87,640205507>0.15,-0.285
RET,-0.76,640205507>0.15,-0.6
FER,0.73,640205507>0.15,0.95
FAK,0.63,640205507>0.15,0.9974999999999999
EGFR,0.57,640205507>0.15,0.4883333333333333
MET,-0.36,640205507>0.15,-0.19166666666666668
CSK,-0.35,640205507>0.15,-0.5266666666666666
TRK,-0.33,640205507>0.15,-0.4658333333333334
ALK,0.24,640205507>0.15,0.03833333333333335
RYK,0.16,640205507>0.15,0.33166666666666667
PDGFR,-0.1,640205507>0.15,0.6174999999999999
FGFR,-0.07,640205507>0.15,-0.35500000000000004
TEC,4.05,640205507>0.2,3.1966666666666668
DDR,3.46,640205507>0.2,3.1225
FRK,2.55,640205507>0.2,2.390833333333333
ABL,1.66,640205507>0.2,2.1108333333333333
SRC,1.44,640205507>0.2,1.3558333333333334
AXL,1.37,640205507>0.2,1.4275
INSR,1.32,640205507>0.2,1.2508333333333332
JAK,-1.23,640205507>0.2,-0.7491666666666666
EPH,-1.06,640205507>0.2,-1.1225
SEV,-0.89,640205507>0.2,-0.12416666666666666
FAK,0.86,640205507>0.2,0.9974999999999999
VEGFR,-0.84,640205507>0.2,-1.4516666666666667
ACK,-0.84,640205507>0.2,-0.285
FER,0.79,640205507>0.2,0.95
SYK,0.68,640205507>0.2,0.6666666666666666
RET,-0.67,640205507>0.2,-0.6
CSK,-0.43,640205507>0.2,-0.5266666666666666
ALK,0.37,640205507>0.2,0.03833333333333335
EGFR,0.35,640205507>0.2,0.4883333333333333
RYK,0.26,640205507>0.2,0.33166666666666667
TRK,-0.21,640205507>0.2,-0.4658333333333334
MET,-0.19,640205507>0.2,-0.19166666666666668
FGFR,0.11,640205507>0.2,-0.35500000000000004
PDGFR,-0.02,640205507>0.2,0.6174999999999999
TEC,4.01,640205507>0.3,3.1966666666666668
DDR,3.37,640205507>0.3,3.1225
FRK,2.22,640205507>0.3,2.390833333333333
ABL,1.82,640205507>0.3,2.1108333333333333
INSR,1.19,640205507>0.3,1.2508333333333332
AXL,1.12,640205507>0.3,1.4275
SRC,1.11,640205507>0.3,1.3558333333333334
JAK,-1,640205507>0.3,-0.7491666666666666
